full_name,title,pages_count,publisher,year,cover,raw_title
Джон Р Толкиен,Дети Хурина,320,М.: АСТ,2015,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1314_compressed.jpg,"Толкиен, Джон Р. - Дети Хурина. - 320 с. - М.: АСТ, 2015"
Джон Р Толкиен,Сильмариллион,414,М.: АСТ,2014,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1164_compressed.jpg,"Толкиен, Джон Р. - Сильмариллион. - 414 с. - М.: АСТ, 2014"
Эдуард Тополь,Московский полет,445,М.: АСТ,2004,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1086_compressed.jpg,"Тополь, Эдуард. - Московский полет. - 445 с. - М.: АСТ, 2004"
Джек Макдевит,Военный талант,464,М.: АСТ,1995,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1106_compressed.jpg,"Макдевит, Джек. - Военный талант. - 464 с. - М.: АСТ, 1995"
Стивен Кинг,Жребий,477,М.: АСТ,2007,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1038_compressed.jpg,"Кинг, Стивен. - Жребий. - 477 с. - М.: АСТ, 2007"
Дэн Браун,Точка обмана,508,М.: АСТ,2010,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1203_compressed.jpg,"Браун, Дэн. - Точка обмана. - 508 с. - М.: АСТ, 2010"
Дэн Браун,Код да Винчи,542,М.: АСТ,2005,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1201_compressed.jpg,"Браун, Дэн. - Код да Винчи. - 542 с. - М.: АСТ, 2005"
Дэн Браун,Инферно,543,М.: АСТ,2013,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1202_compressed.jpg,"Браун, Дэн. - Инферно. - 543 с. - М.: АСТ, 2013"
Анджей Сапковский,Крещение огнем; Башня ласточки,613,М.: АСТ,2008,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1073_compressed.jpg,"Сапковский, Анджей. - Крещение огнем; Башня ласточки. - 613 с. - М.: АСТ, 2008"
Анджей Сапковский,Кровь эльфов; Час презрения,638,М.: АСТ,2009,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1072_compressed.jpg,"Сапковский, Анджей. - Кровь эльфов; Час презрения. - 638 с. - М.: АСТ, 2009"
Анджей Сапковский,Владычица озера; Дорога без возврата,667,М.: АСТ,2007,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1074_compressed.jpg,"Сапковский, Анджей. - Владычица озера; Дорога без возврата. - 667 с. - М.: АСТ, 2007"
Артур Хейли,Перегрузка,669,"М.: АСТ, Хранитель",2007,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1190_compressed.jpg,"Хейли, Артур. - Перегрузка. - 669 с. - М.: АСТ, Хранитель, 2007"
Иан Грэм,Космос: тайны звездного неба,123,М.: АСТ; Астрель,2001,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1154_compressed.jpg,"Грэм, Иан. - Космос: тайны звездного неба. - 123 с. - М.: АСТ; Астрель, 2001"
Владимир С Пуронен,Оружие. Мундиры. Знамена. Ордена,302,М.: АСТ; СПб.: Полигон,2005,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1169_compressed.jpg,"Пуронен, Владимир С. - Оружие. Мундиры. Знамена. Ордена. - 302 с. - М.: АСТ; СПб.: Полигон, 2005"
Лев Н Гумилев,Древняя Русь и Великая степь,655,М.: АСТ; Хранитель,2007,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1192_compressed.jpg,"Гумилев, Лев Н. - Древняя Русь и Великая степь. - 655 с. - М.: АСТ; Хранитель, 2007"
Умберто Эко,Баудолино,624,М.: АСТ: Corvus,2012,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1149_compressed.jpg,"Эко, Умберто. - Баудолино. - 624 с. - М.: АСТ: Corvus, 2012"
Умберто Эко,Маятник Фуко,832,М.: АСТ: Corvus,2015,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1150_compressed.jpg,"Эко, Умберто. - Маятник Фуко. - 832 с. - М.: АСТ: Corvus, 2015"
Дэй Альберт; Дэвид Джексон,Мастер золотые руки,560,М.: АСТ: Астрель,2011,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1214_compressed.jpg,"Джексон, Альберт; Дэвид, Дэй. - Мастер золотые руки. - 560 с. - М.: АСТ: Астрель, 2011"
Аркадий Борис; Стругацкий Стругацкий,"Пикник на обочине; Отель ""У погибшего альпиниста""; Улитка на склоне",619,М.: АСТ: Астрель; СПб.: Terra Fantastica,2012,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1199_compressed.jpg,"Стругацкий, Борис; Стругацкий, Аркадий. - Пикник на обочине; Отель ""У погибшего альпиниста""; Улитка на склоне. - 619 с. - М.: АСТ: Астрель; СПб.: Terra Fantastica, 2012"
Билл Брайсон,Краткая история почти всего на свете,607,М.: Астрель,2014,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1158_compressed.jpg,"Брайсон, Билл. - Краткая история почти всего на свете. - 607 с. - М.: Астрель, 2014"
Людмила Улицкая,Тот и этот свет: Медея и ее дети; Веселые походы; Казус Кукоцкого,861,М.: Астрель,2013,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1200_compressed.jpg,"Улицкая, Людмила. - Тот и этот свет: Медея и ее дети; Веселые походы; Казус Кукоцкого. - 861 с. - М.: Астрель, 2013"
Б.И Хигир,Имя и профессия,686,"М.: Астрель, АСТ",2003,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1105_compressed.jpg,"Хигир, Б.И. - Имя и профессия. - 686 с. - М.: Астрель, АСТ, 2003"
Виктор Гюго,Девяносто третий год,352,М.: Беларусь,1977,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1125_compressed.jpg,"Гюго, Виктор. - Девяносто третий год. - 352 с. - М.: Беларусь, 1977"
Николай И Белавин,Боевые катера,112,М.: ДОСААФ,1987,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1011_compressed.jpg,"Белавин, Николай И. - Боевые катера. - 112 с. - М.: ДОСААФ, 1987"
Владимир А Обручев,Плутония,311,М.: изд-во географической литературы,1951,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1110_compressed.jpg,"Обручев, Владимир А. - Плутония. - 311 с. - М.: изд-во географической литературы, 1951"
Н. Г Чернышевский,Что делать?,368,М.: изд-во мин-ва просвещения РСФСР,1957,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1018_compressed.jpg,"Чернышевский, Н. Г. - Что делать?. - 368 с. - М.: изд-во мин-ва просвещения РСФСР, 1957"
Валерий В Фаронов,Турбо Паскаль 7.0: Учебный курс,368,М.: КНОРУС,2009,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1298_compressed.jpg,"Фаронов, Валерий В. - Турбо Паскаль 7.0: Учебный курс. - 368 с. - М.: КНОРУС, 2009"
Гастон Леру,Призрак оперы,480,М.: Крим-пресс,1992,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1033_compressed.jpg,"Леру, Гастон. - Призрак оперы. - 480 с. - М.: Крим-пресс, 1992"
Лукина Мария П,Художественная штопка,50,М.: Легкая индустрия,1966,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1016_compressed.jpg,"Лукина Мария П. - Художественная штопка. - 50 с. - М.: Легкая индустрия, 1966"
Валерий Т Стигнеев,Популярная эстетика фотографии,360,М.: Либроком,2014,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1165_compressed.jpg,"Стигнеев, Валерий Т. - Популярная эстетика фотографии. - 360 с. - М.: Либроком, 2014"
Джессика Хэги,Как быть интересным,288,"М.: Манн, Иванов и Фербер",2015,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1174_compressed.jpg,"Хэги, Джессика. - Как быть интересным. - 288 с. - М.: Манн, Иванов и Фербер, 2015"
Е.А Горбунов,20 августа 1939,239,М.: Мол. гвардия,1986,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1109_compressed.jpg,"Горбунов, Е.А. - 20 августа 1939. - 239 с. - М.: Мол. гвардия, 1986"
Лев Н Толстой,"Анна Каренина, т. 1-2",576,М.: ОГИЗ,1947,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1113_compressed.jpg,"Толстой, Лев Н. - Анна Каренина, т. 1-2. - 576 с., 504 с. - М.: ОГИЗ, 1947"
Виктория Холт,Тень рыси,352,М.: Панорама,1994,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1189_compressed.jpg,"Холт, Виктория. - Тень рыси. - 352 с. - М.: Панорама, 1994"
Виктор Гюго,Собор Парижской Богоматери,560,М.: Правда,1984,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1071_compressed.jpg,"Гюго, Виктор. - Собор Парижской Богоматери. - 560 с. - М.: Правда, 1984"
Сомерсет Моэм,Луна и грош; Театр; Рассказы,576,М.: Правда,1983,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1181_compressed.jpg,"Моэм, Сомерсет. - Луна и грош; Театр; Рассказы. - 576 с. - М.: Правда, 1983"
Роберт Л Стивенсон,Владетель Баллантрэ. Рассказы и повести,592,М.: Правда,1987,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1027_compressed.jpg,"Стивенсон, Роберт Л. - Владетель Баллантрэ. Рассказы и повести. - 592 с. - М.: Правда, 1987"
Джеральд Дарелл,Под пологом пьяного леса,592,М.: Правда,1988,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1180_compressed.jpg,"Дарелл, Джеральд. - Под пологом пьяного леса. - 592 с. - М.: Правда, 1988"
Р Штильмарк,Наследник из Калькутты,768,М.: Правда,1990,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1128_compressed.jpg,"Штильмарк, Р. - Наследник из Калькутты. - 768 с. - М.: Правда, 1990"
Генри Р Хаггард,Полное собрание приключений Аллана Квотермейна,992,М.: Престиж Бук; Армада-Арбалет,2010,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1152_compressed.jpg,"Хаггард, Генри Р. - Полное собрание приключений Аллана Квотермейна. - 992 с. - М.: Престиж Бук; Армада-Арбалет, 2010"
Олег Мороз,Группа риска,96,М.: Просвещение,1990,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1101_compressed.jpg,"Мороз, Олег. - Группа риска. - 96 с. - М.: Просвещение, 1990"
Стивен Джуан,История тела: 2640 фактов,688,М.: Рипол-классик,2014,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1168_compressed.jpg,"Джуан, Стивен. - История тела: 2640 фактов. - 688 с. - М.: Рипол-классик, 2014"
Омар Хайям,Омар Хайям и персидские поэты X-XVI веков,416,М.: РООССА,2006,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1213_compressed.jpg,"Хайям, Омар. - Омар Хайям и персидские поэты X-XVI веков. - 416 с. - М.: РООССА, 2006"
Джоан Роулинг,Гарри Поттер и философский камень,399,М.: РОСМЭН,2002,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1139_compressed.jpg,"Роулинг, Джоан. - Гарри Поттер и философский камень. - 399 с. - М.: РОСМЭН, 2002"
Джоан Роулинг,Гарри Поттер и Тайная комната,473,М.: РОСМЭН,2001,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1140_compressed.jpg,"Роулинг, Джоан. - Гарри Поттер и Тайная комната. - 473 с. - М.: РОСМЭН, 2001"
Джоан Роулинг,Гарри Поттер и узник Азкабана,572,М.: РОСМЭН,2001,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1141_compressed.jpg,"Роулинг, Джоан. - Гарри Поттер и узник Азкабана. - 572 с. - М.: РОСМЭН, 2001"
Джоан Роулинг,Гарри Поттер и дары смерти,640,М.: РОСМЭН,2007,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1145_compressed.jpg,"Роулинг, Джоан. - Гарри Поттер и дары смерти. - 640 с. - М.: РОСМЭН, 2007"
Джоан Роулинг,Гарри Поттер и Кубок огня,667,М.: РОСМЭН,2002,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1142_compressed.jpg,"Роулинг, Джоан. - Гарри Поттер и Кубок огня. - 667 с. - М.: РОСМЭН, 2002"
Джоан Роулинг,Гарри Поттер и Принц-полукровка,672,М.: РОСМЭН,2006,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1144_compressed.jpg,"Роулинг, Джоан. - Гарри Поттер и Принц-полукровка. - 672 с. - М.: РОСМЭН, 2006"
Джоан Роулинг,Гарри Поттер и Орден феникса,827,М.: РОСМЭН,2004,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1143_compressed.jpg,"Роулинг, Джоан. - Гарри Поттер и Орден феникса. - 827 с. - М.: РОСМЭН, 2004"
